local_window,stride,f1_score
5,10,0.884316940814498
5,15,0.886047691527144
5,20,0.87961547606916
5,30,0.891851553722057
7,10,0.879545454545455
7,15,0.873941256830601
7,20,0.895443524788897
7,30,0.884248997478892
9,10,0.872483679070005
9,15,0.893459563970931
9,20,0.87921595133491
9,30,0.88915808600848
11,10,0.882040060595859
11,15,0.872444308819042
11,20,0.87562576106075
11,30,0.88346326760848
