local_window,stride,accuracy,precision,recall,f1
2,11,0.8312,0.4166,0.9754,0.5838
2,12,0.9279,0.6368,0.9442,0.7606
2,13,0.8323,0.4171,0.9614,0.5818
2,14,0.9113,0.5805,0.9703,0.7264
2,15,0.9433,0.6914,0.9622,0.8046
2,16,0.6744,0.2657,0.9543,0.4156
2,17,0.9392,0.6752,0.9622,0.7935
2,18,0.9194,0.6064,0.9571,0.7424
2,19,0.886,0.5163,0.9622,0.672
2,20,0.901,0.5521,0.9746,0.7049
3,11,0.8312,0.4166,0.9754,0.5838
3,12,0.9279,0.6368,0.9442,0.7606
3,13,0.8323,0.4171,0.9614,0.5818
3,14,0.9113,0.5805,0.9703,0.7264
3,15,0.9433,0.6914,0.9622,0.8046
3,16,0.6744,0.2657,0.9543,0.4156
3,17,0.9392,0.6752,0.9622,0.7935
3,18,0.9194,0.6064,0.9571,0.7424
3,19,0.886,0.5163,0.9622,0.672
3,20,0.901,0.5521,0.9746,0.7049
4,11,0.9801,0.8594,1.0,0.9244
4,12,0.9697,0.8039,0.9929,0.8884
4,13,0.9886,0.9139,1.0,0.955
4,14,0.9855,0.9028,0.9868,0.9429
4,15,0.9887,0.9252,0.9868,0.955
4,16,0.9355,0.6564,0.9825,0.787
4,17,0.987,0.9031,1.0,0.9491
4,18,0.9556,0.7335,0.9957,0.8447
4,19,0.9278,0.6287,0.9886,0.7686
4,20,0.9297,0.6374,0.9754,0.771
6,11,0.9224,0.6142,0.9693,0.7519
6,12,0.9683,0.8078,0.9693,0.8812
6,13,0.9618,0.7607,1.0,0.8641
6,14,0.9691,0.7972,1.0,0.8872
6,15,0.8195,0.4006,0.9825,0.5691
6,16,0.9784,0.8567,0.9868,0.9172
6,17,0.9695,0.8049,0.9886,0.8873
6,18,0.9841,0.8983,0.9796,0.9372
6,19,0.9868,0.9021,1.0,0.9485
6,20,0.9867,0.9015,1.0,0.9482
7,11,0.9224,0.6142,0.9693,0.7519
7,12,0.9683,0.8078,0.9693,0.8812
7,13,0.9618,0.7607,1.0,0.8641
7,14,0.9691,0.7972,1.0,0.8872
7,15,0.8195,0.4006,0.9825,0.5691
7,16,0.9784,0.8567,0.9868,0.9172
7,17,0.9695,0.8049,0.9886,0.8873
7,18,0.9841,0.8983,0.9796,0.9372
7,19,0.9868,0.9021,1.0,0.9485
7,20,0.9867,0.9015,1.0,0.9482
8,11,0.985,0.9046,0.9796,0.9406
8,12,0.9646,0.7758,0.9957,0.8721
8,13,0.9792,0.8538,1.0,0.9211
8,14,0.8951,0.5369,0.9868,0.6954
8,15,0.9146,0.5887,0.9825,0.7363
8,16,0.9366,0.6594,0.9868,0.7906
8,17,0.9491,0.7104,0.9796,0.8236
8,18,0.9869,0.908,0.9929,0.9486
8,19,0.9841,0.8857,0.9981,0.9386
8,20,0.8007,0.3772,0.9868,0.5458
9,11,0.985,0.9046,0.9796,0.9406
9,12,0.9646,0.7758,0.9957,0.8721
9,13,0.9792,0.8538,1.0,0.9211
9,14,0.8951,0.5369,0.9868,0.6954
9,15,0.9146,0.5887,0.9825,0.7363
9,16,0.9366,0.6594,0.9868,0.7906
9,17,0.9491,0.7104,0.9796,0.8236
9,18,0.9869,0.908,0.9929,0.9486
9,19,0.9841,0.8857,0.9981,0.9386
9,20,0.8007,0.3772,0.9868,0.5458
10,11,0.9653,0.7951,0.9622,0.8707
10,12,0.9796,0.872,0.9754,0.9208
10,13,0.9708,0.8096,0.9929,0.8919
10,14,0.9174,0.5974,0.9796,0.7422
10,15,0.9433,0.6866,0.9796,0.8073
10,16,0.9706,0.8084,0.9929,0.8912
10,17,0.9485,0.7082,0.9796,0.8221
10,18,0.9809,0.864,1.0,0.927
10,19,0.9804,0.8608,1.0,0.9252
10,20,0.9696,0.8082,0.9825,0.8868
