local_window,stride,accuracy,precision,recall,f1
4,1,0.9886,0.9142,1.0,0.9552
4,2,0.9753,0.8384,0.9868,0.9066
4,3,0.9905,0.9274,1.0,0.9623
4,5,0.8795,0.5017,0.9825,0.6643
4,6,0.9634,0.7788,0.9754,0.8661
4,7,0.9212,0.6062,1.0,0.7548
4,8,0.9886,0.914,1.0,0.9551
4,9,0.845,0.437,0.9622,0.601
